,entity,code,year,human_food,animal_feed,processed
292,Antigua and Barbuda,ATG,1988,0.0,,
293,Antigua and Barbuda,ATG,1989,0.0,,
294,Antigua and Barbuda,ATG,1990,0.0,,
295,Antigua and Barbuda,ATG,1991,0.0,,
296,Antigua and Barbuda,ATG,1992,0.0,,
297,Antigua and Barbuda,ATG,1993,0.0,,
298,Antigua and Barbuda,ATG,1994,0.0,,
299,Antigua and Barbuda,ATG,1995,0.0,,
300,Antigua and Barbuda,ATG,1996,0.0,,
301,Antigua and Barbuda,ATG,1997,0.0,,
302,Antigua and Barbuda,ATG,1998,0.0,,
303,Antigua and Barbuda,ATG,1999,0.0,,
304,Antigua and Barbuda,ATG,2000,0.0,,
305,Antigua and Barbuda,ATG,2001,0.0,,
306,Antigua and Barbuda,ATG,2002,0.0,,
307,Antigua and Barbuda,ATG,2003,0.0,,
308,Antigua and Barbuda,ATG,2004,0.0,,
309,Antigua and Barbuda,ATG,2005,0.0,,
310,Antigua and Barbuda,ATG,2006,0.0,,
311,Antigua and Barbuda,ATG,2007,0.0,,
312,Antigua and Barbuda,ATG,2008,0.0,,
313,Antigua and Barbuda,ATG,2009,0.0,,
314,Antigua and Barbuda,ATG,2010,0.0,,
315,Antigua and Barbuda,ATG,2011,0.0,,
316,Antigua and Barbuda,ATG,2012,0.0,,
317,Antigua and Barbuda,ATG,2013,0.0,,
318,Argentina,ARG,1961,0.0,0.0,0.0
319,Argentina,ARG,1962,0.0,0.0,1000.0
320,Argentina,ARG,1963,0.0,0.0,8000.0
321,Argentina,ARG,1964,0.0,0.0,5000.0
322,Argentina,ARG,1965,0.0,0.0,5000.0
323,Argentina,ARG,1966,0.0,0.0,4000.0
324,Argentina,ARG,1967,0.0,0.0,2000.0
325,Argentina,ARG,1968,0.0,0.0,12000.0
326,Argentina,ARG,1969,0.0,0.0,13000.0
327,Argentina,ARG,1970,0.0,0.0,21000.0
328,Argentina,ARG,1971,0.0,0.0,32000.0
329,Argentina,ARG,1972,0.0,0.0,46000.0
330,Argentina,ARG,1973,0.0,0.0,164000.0
331,Argentina,ARG,1974,0.0,0.0,247000.0
332,Argentina,ARG,1975,0.0,0.0,499000.0
333,Argentina,ARG,1976,0.0,0.0,484000.0
334,Argentina,ARG,1977,0.0,0.0,568000.0
335,Argentina,ARG,1978,0.0,0.0,635000.0
336,Argentina,ARG,1979,0.0,0.0,693000.0
337,Argentina,ARG,1980,0.0,0.0,802000.0
338,Argentina,ARG,1981,0.0,0.0,1011000.0
339,Argentina,ARG,1982,0.0,0.0,1736000.0
340,Argentina,ARG,1983,0.0,0.0,2255000.0
341,Argentina,ARG,1984,0.0,0.0,3407000.0
342,Argentina,ARG,1985,0.0,0.0,3675000.0
343,Argentina,ARG,1986,0.0,0.0,4458000.0
344,Argentina,ARG,1987,0.0,0.0,5017000.0
345,Argentina,ARG,1988,0.0,0.0,6195000.0
346,Argentina,ARG,1989,0.0,0.0,5410000.0
347,Argentina,ARG,1990,0.0,0.0,6627000.0
348,Argentina,ARG,1991,0.0,0.0,7258000.0
349,Argentina,ARG,1992,0.0,0.0,8212000.0
350,Argentina,ARG,1993,0.0,0.0,8251000.0
351,Argentina,ARG,1994,0.0,0.0,8905000.0
352,Argentina,ARG,1995,0.0,0.0,9103000.0
353,Argentina,ARG,1996,0.0,0.0,10360000.0
354,Argentina,ARG,1997,0.0,0.0,10470000.0
355,Argentina,ARG,1998,0.0,0.0,15293000.0
356,Argentina,ARG,1999,0.0,0.0,17058000.0
357,Argentina,ARG,2000,0.0,0.0,17031000.0
358,Argentina,ARG,2001,0.0,0.0,18274000.0
359,Argentina,ARG,2002,0.0,0.0,21391000.0
360,Argentina,ARG,2003,0.0,0.0,24320000.0
361,Argentina,ARG,2004,0.0,0.0,24229000.0
362,Argentina,ARG,2005,0.0,390000.0,28529000.0
363,Argentina,ARG,2006,0.0,412000.0,32500000.0
364,Argentina,ARG,2007,0.0,497000.0,36268000.0
365,Argentina,ARG,2008,0.0,491000.0,31709000.0
366,Argentina,ARG,2009,0.0,318000.0,30307000.0
367,Argentina,ARG,2010,0.0,527000.0,36825000.0
368,Argentina,ARG,2011,0.0,489000.0,37340000.0
369,Argentina,ARG,2012,0.0,401000.0,33333000.0
370,Argentina,ARG,2013,0.0,986000.0,34041000.0
371,Armenia,ARM,1992,0.0,0.0,
372,Armenia,ARM,1993,0.0,0.0,
373,Armenia,ARM,1994,0.0,0.0,
374,Armenia,ARM,1995,0.0,20000.0,
375,Armenia,ARM,1996,0.0,17000.0,
376,Armenia,ARM,1997,0.0,0.0,
377,Armenia,ARM,1998,0.0,0.0,
378,Armenia,ARM,1999,0.0,0.0,
379,Armenia,ARM,2000,0.0,0.0,
380,Armenia,ARM,2001,0.0,0.0,
381,Armenia,ARM,2002,0.0,0.0,
382,Armenia,ARM,2003,0.0,1000.0,
383,Armenia,ARM,2004,0.0,2000.0,
384,Armenia,ARM,2005,0.0,1000.0,
385,Armenia,ARM,2006,0.0,0.0,
386,Armenia,ARM,2007,0.0,0.0,
387,Armenia,ARM,2008,0.0,0.0,
388,Armenia,ARM,2009,0.0,6000.0,
389,Armenia,ARM,2010,0.0,0.0,
390,Armenia,ARM,2011,0.0,0.0,
391,Armenia,ARM,2012,0.0,0.0,
392,Armenia,ARM,2013,0.0,0.0,
393,Asia,,1961,4112000.0,191000.0,3033000.0
394,Asia,,1962,4181000.0,205000.0,3188000.0
395,Asia,,1963,4525000.0,225000.0,3549000.0
396,Asia,,1964,4752000.0,263000.0,3693000.0
397,Asia,,1965,4278000.0,284000.0,3831000.0
398,Asia,,1966,5367000.0,426000.0,4368000.0
399,Asia,,1967,5623000.0,403000.0,4544000.0
400,Asia,,1968,5481000.0,373000.0,4608000.0
401,Asia,,1969,5335000.0,331000.0,4998000.0
402,Asia,,1970,5804000.0,302000.0,5871000.0
403,Asia,,1971,6002000.0,473000.0,5810000.0
404,Asia,,1972,5442000.0,303000.0,5840000.0
405,Asia,,1973,6149000.0,367000.0,5980000.0
406,Asia,,1974,5789000.0,301000.0,6382000.0
407,Asia,,1975,5676000.0,293000.0,6464000.0
408,Asia,,1976,5570000.0,358000.0,6769000.0
409,Asia,,1977,5446000.0,365000.0,7260000.0
410,Asia,,1978,5567000.0,320000.0,8360000.0
411,Asia,,1979,5633000.0,335000.0,8827000.0
412,Asia,,1980,6070000.0,456000.0,9131000.0
413,Asia,,1981,6198000.0,486000.0,10229000.0
414,Asia,,1982,6007000.0,446000.0,11167000.0
415,Asia,,1983,5922000.0,479000.0,11736000.0
416,Asia,,1984,5954000.0,520000.0,11831000.0
417,Asia,,1985,5808000.0,846000.0,12665000.0
418,Asia,,1986,6383000.0,633000.0,13600000.0
419,Asia,,1987,6637000.0,606000.0,14015000.0
420,Asia,,1988,6791000.0,643000.0,14649000.0
421,Asia,,1989,6411000.0,574000.0,15039000.0
422,Asia,,1990,6686000.0,483000.0,15617000.0
423,Asia,,1991,5882000.0,488000.0,15811000.0
424,Asia,,1992,6706000.0,441000.0,16734000.0
425,Asia,,1993,7774000.0,1095000.0,20687000.0
426,Asia,,1994,8904000.0,1172000.0,20331000.0
427,Asia,,1995,7977000.0,777000.0,21307000.0
428,Asia,,1996,8128000.0,529000.0,23843000.0
429,Asia,,1997,9501000.0,464000.0,25551000.0
430,Asia,,1998,8021000.0,545000.0,27890000.0
431,Asia,,1999,6943000.0,1619000.0,30093000.0
432,Asia,,2000,7482000.0,2223000.0,32817000.0
433,Asia,,2001,7369000.0,2874000.0,36859000.0
434,Asia,,2002,6952000.0,2278000.0,38624000.0
435,Asia,,2003,7160000.0,3260000.0,45637000.0
436,Asia,,2004,7282000.0,3908000.0,46208000.0
437,Asia,,2005,7801000.0,3359000.0,51542000.0
438,Asia,,2006,7766000.0,3503000.0,53652000.0
439,Asia,,2007,7853000.0,3720000.0,58608000.0
440,Asia,,2008,7763000.0,3943000.0,59169000.0
441,Asia,,2009,7996000.0,5285000.0,63283000.0
442,Asia,,2010,8324000.0,9535000.0,74199000.0
443,Asia,,2011,8177000.0,6472000.0,78276000.0
444,Asia,,2012,8677000.0,7524000.0,82418000.0
445,Asia,,2013,8667000.0,10017000.0,80582000.0
446,"Asia, Central",,1992,0.0,2000.0,34000.0
447,"Asia, Central",,1993,0.0,1000.0,31000.0
448,"Asia, Central",,1994,0.0,5000.0,36000.0
449,"Asia, Central",,1995,0.0,3000.0,40000.0
450,"Asia, Central",,1996,0.0,2000.0,16000.0
451,"Asia, Central",,1997,0.0,9000.0,125000.0
452,"Asia, Central",,1998,0.0,7000.0,126000.0
453,"Asia, Central",,1999,0.0,7000.0,34000.0
454,"Asia, Central",,2000,0.0,9000.0,69000.0
455,"Asia, Central",,2001,0.0,9000.0,62000.0
456,"Asia, Central",,2002,0.0,101000.0,34000.0
457,"Asia, Central",,2003,0.0,8000.0,27000.0
458,"Asia, Central",,2004,0.0,6000.0,14000.0
459,"Asia, Central",,2005,0.0,5000.0,67000.0
460,"Asia, Central",,2006,0.0,3000.0,112000.0
461,"Asia, Central",,2007,0.0,2000.0,160000.0
462,"Asia, Central",,2008,0.0,2000.0,86000.0
463,"Asia, Central",,2009,0.0,41000.0,56000.0
464,"Asia, Central",,2010,1000.0,84000.0,31000.0
465,"Asia, Central",,2011,0.0,94000.0,36000.0
466,"Asia, Central",,2012,1000.0,102000.0,56000.0
467,"Asia, Central",,2013,1000.0,122000.0,75000.0
468,Australia,AUS,1961,0.0,0.0,0.0
469,Australia,AUS,1962,0.0,0.0,0.0
470,Australia,AUS,1963,0.0,0.0,1000.0
471,Australia,AUS,1964,0.0,1000.0,2000.0
472,Australia,AUS,1965,0.0,2000.0,5000.0
473,Australia,AUS,1966,0.0,21000.0,1000.0
474,Australia,AUS,1967,0.0,2000.0,1000.0
475,Australia,AUS,1968,0.0,4000.0,1000.0
476,Australia,AUS,1969,0.0,0.0,1000.0
477,Australia,AUS,1970,0.0,0.0,4000.0
478,Australia,AUS,1971,0.0,0.0,13000.0
479,Australia,AUS,1972,0.0,8000.0,22000.0
480,Australia,AUS,1973,0.0,0.0,24000.0
481,Australia,AUS,1974,0.0,29000.0,61000.0
482,Australia,AUS,1975,0.0,21000.0,57000.0
483,Australia,AUS,1976,0.0,0.0,13000.0
484,Australia,AUS,1977,0.0,22000.0,50000.0
485,Australia,AUS,1978,0.0,27000.0,60000.0
486,Australia,AUS,1979,0.0,21000.0,64000.0
487,Australia,AUS,1980,0.0,25000.0,63000.0
488,Australia,AUS,1981,0.0,32000.0,75000.0
